"video_game_play","video_game_hours","play_pref","game_type_pref","num_of_purchases","income","industry","emp_type","edu_level","n_dependents","hobbies","comp","comp_int","res_impor","interaction_impor","genre","game_purchase","game_format","gender","age","region","relationship_status"
56,1,"Outdoors","Multiplayer-Play",6,105647,"Broadcasting","Homemaker","Some High School",0,"Television Series,Art,Sports",96,48,35,65,"Sports & Racing,Strategy & Puzzle,Roleplay,Simulation,Action/Adventure","Both","Digital","Male",46,"Southwest","Separated"
35,0,"Indoors","Solo-Play",5,80634,"Agriculture","Homemaker","Associate degree",2,"Movies",8,24,15,33,"Music & Fitness,Action/Adventure,Roleplay","Both","Physical","Male",27,"Southeast","Single"
55,14,"Indoors","Multiplayer-Play",17,48520,"Science","Not employed, not looking","Trade or Vocational Degree",8,"Art,Television Series",42,51,79,42,"Sports & Racing,Action/Adventure,Music & Fitness","In-game purchases","Digital","Female",60,"Southeast","Separated"
58,9,"Outdoors","Solo-Play",10,73838,"Utilities","Homemaker","High school graduate or equivalent",4,"Art,Music,Outdoor Recreation (Hiking,etc)",36,55,42,73,"Roleplay,Sports & Racing","In-game purchases","Digital","Female",50,"Northwest","In a relationship"
32,0,"Outdoors","Multiplayer-Play",0,70435,"Legal Services","Employed Full Time","Associate degree",1,"Music,Outdoor Recreation (Hiking,etc),Television Series,Movies",12,24,22,33,"Roleplay,Sports & Racing,Strategy & Puzzle,Simulation","In-game purchases","Physical","Female",37,"Northwest","In a relationship"
57,0,"Indoors","Solo-Play",11,80397,"Agriculture","Retired","Graduate or professional degree",4,"Sports,Music,Art,Outdoor Recreation (Hiking,etc),Television Series",49,66,36,63,"Action/Adventure,Simulation,Music & Fitness,Sports & Racing","One-time payment, pre-playing","Digital","Male",56,"Northeast","Married"
50,4,"Indoors","Solo-Play",19,64946,"Arts","Retired","Trade or Vocational Degree",8,"Outdoor Recreation (Hiking,etc)",47,43,80,36,"Music & Fitness,Sports & Racing,Action/Adventure,Strategy & Puzzle","In-game purchases","Physical","Female",58,"Southeast","Separated"
45,7,"Indoors","Solo-Play",22,53727,"Other","Employed Full Time","Some College",3,"Movies,Music,Television Series,Outdoor Recreation (Hiking,etc),Sports",78,40,24,57,"Action/Adventure,Roleplay,Strategy & Puzzle","In-game purchases","Digital","Female",53,"Northeast","Separated"
49,5,"Indoors","Multiplayer-Play",16,98974,"Transportation","Student","Associate degree",0,"Music,Movies,Art,Television Series",95,49,27,64,"Sports & Racing,Action/Adventure,Roleplay,Music & Fitness","Both","Physical","Male",53,"Northeast","Single"
37,1,"Outdoors","Multiplayer-Play",3,138013,"Retail","Student","Trade or Vocational Degree",0,"Sports,Outdoor Recreation (Hiking,etc),Television Series,Music,Art,Movies",10,26,17,40,"Strategy & Puzzle,Simulation","One-time payment, pre-playing","Digital","Male",37,"Midwest","Married"
57,2,"Indoors","Multiplayer-Play",1,118753,"Finance","Employed Full Time","High school graduate or equivalent",2,"Movies,Art,Television Series,Sports,Outdoor Recreation (Hiking,etc),Music",7,25,19,44,"Sports & Racing,Roleplay,Simulation,Strategy & Puzzle,Action/Adventure,Music & Fitness","In-game purchases","Physical","Male",32,"Midwest","In a relationship"
60,3,"Indoors","Multiplayer-Play",7,83140,"Wholesale","Homemaker","High school graduate or equivalent",6,"Movies,Art,Music,Television Series,Sports",33,54,36,64,"Music & Fitness","One-time payment, pre-playing","Physical","Non-binary/third gender",56,"Southwest","Married"
45,3,"Outdoors","Solo-Play",1,92369,"Wholesale","Employed Full Time","Some High School",0,"Sports,Movies,Art",71,26,27,72,"Strategy & Puzzle,Action/Adventure,Music & Fitness,Simulation","One-time payment, pre-playing","Digital","Female",37,"Northeast","In a relationship"
36,5,"Outdoors","Solo-Play",27,71129,"Construction","Retired","Some High School",5,"Outdoor Recreation (Hiking,etc),Art,Sports,Music",49,38,82,46,"Strategy & Puzzle,Roleplay,Action/Adventure,Sports & Racing","Both","Digital","Male",44,"Northeast","Single"
38,10,"Indoors","Solo-Play",21,47641,"Hotel and Food Services","Not employed, not looking","Some High School",3,"Television Series,Art,Sports,Music,Outdoor Recreation (Hiking,etc),Movies",70,46,48,65,"Roleplay,Simulation,Action/Adventure","In-game purchases","Digital","Male",49,"Midwest","In a relationship"
32,1,"Indoors","Multiplayer-Play",4,178323,"Transportation","Not employed, looking","Some High School",2,"Television Series,Sports,Movies",15,18,19,38,"Roleplay,Simulation,Sports & Racing,Music & Fitness,Action/Adventure","Both","Physical","Male",41,"Southeast","Separated"
32,2,"Outdoors","Multiplayer-Play",1,152767,"Utilities","Homemaker","Some College",2,"Sports,Outdoor Recreation (Hiking,etc),Music",66,25,16,81,"Roleplay,Strategy & Puzzle,Simulation,Music & Fitness,Action/Adventure,Sports & Racing","One-time payment, pre-playing","Digital","Male",35,"Northeast","Married"
39,5,"Outdoors","Solo-Play",18,51886,"Wholesale","Not employed, not looking","Trade or Vocational Degree",4,"Music,Television Series,Art,Sports,Movies,Outdoor Recreation (Hiking,etc)",37,50,82,30,"Simulation,Strategy & Puzzle,Music & Fitness,Action/Adventure,Sports & Racing","In-game purchases","Physical","Male",45,"Northeast","Separated"
50,0,"Outdoors","Multiplayer-Play",3,98112,"Software","Employed Full Time","Graduate or professional degree",1,"Outdoor Recreation (Hiking,etc),Art,Sports",66,21,30,72,"Roleplay,Strategy & Puzzle,Sports & Racing,Action/Adventure,Music & Fitness","One-time payment, pre-playing","Digital","Male",30,"Northeast","Single"
19,1,"Outdoors","Solo-Play",2,127328,"Arts","Retired","Bachelor's degree",1,"Outdoor Recreation (Hiking,etc)",5,19,20,33,"Simulation,Strategy & Puzzle,Music & Fitness,Sports & Racing,Action/Adventure","In-game purchases","Physical","Female",31,"Southwest","Separated"
62,5,"Indoors","Solo-Play",7,81138,"Education","Not employed, not looking","Associate degree",2,"Sports,Outdoor Recreation (Hiking,etc),Television Series,Movies",93,45,14,70,"Strategy & Puzzle,Roleplay,Music & Fitness,Simulation","Both","Digital","Male",36,"Midwest","Divorced"
38,0,"Indoors","Multiplayer-Play",1,156995,"Retail","Retired","Trade or Vocational Degree",1,"Movies",10,25,16,26,"Music & Fitness","In-game purchases","Physical","Male",35,"Northeast","Separated"
34,4,"Indoors","Solo-Play",24,39667,"Wholesale","Homemaker","Trade or Vocational Degree",6,"Movies,Art",33,47,82,29,"Strategy & Puzzle,Action/Adventure,Simulation,Music & Fitness","Both","Physical","Male",45,"Northeast","Single"
30,3,"Indoors","Solo-Play",2,136175,"Science","Retired","High school graduate or equivalent",2,"Television Series",9,13,5,36,"Sports & Racing,Action/Adventure,Strategy & Puzzle,Roleplay,Music & Fitness,Simulation","Both","Physical","Male",39,"Southeast","Separated"
68,5,"Indoors","Solo-Play",11,85504,"Science","Homemaker","Bachelor's degree",3,"Movies,Television Series",89,57,40,66,"Roleplay,Simulation","Both","Digital","Male",39,"Southwest","Single"
41,2,"Outdoors","Multiplayer-Play",4,106125,"Real Estate","Student","Trade or Vocational Degree",3,"Television Series,Music,Outdoor Recreation (Hiking,etc)",9,35,26,34,"Action/Adventure,Music & Fitness","Both","Physical","Female",32,"Northeast","In a relationship"
59,3,"Indoors","Multiplayer-Play",11,58202,"Education","Not employed, looking","Graduate or professional degree",1,"Music,Movies,Television Series,Art",42,57,35,56,"Simulation,Music & Fitness,Strategy & Puzzle,Action/Adventure","In-game purchases","Digital","Female",46,"Southeast","In a relationship"
61,6,"Outdoors","Solo-Play",26,52170,"Retail","Not employed, not looking","Some College",3,"Television Series,Outdoor Recreation (Hiking,etc),Sports,Art,Movies,Music",45,49,85,37,"Strategy & Puzzle,Action/Adventure,Simulation,Music & Fitness,Sports & Racing,Roleplay","Both","Digital","Female",40,"Northwest","In a relationship"
35,0,"Indoors","Solo-Play",4,125452,"Broadcasting","Retired","Graduate or professional degree",1,"Art,Movies,Television Series",74,22,18,73,"Simulation,Action/Adventure,Strategy & Puzzle,Sports & Racing,Roleplay","One-time payment, pre-playing","Digital","Female",34,"Northeast","Separated"
67,5,"Outdoors","Solo-Play",6,91416,"Publishing","Retired","Associate degree",0,"Outdoor Recreation (Hiking,etc)",89,51,27,64,"Sports & Racing","Both","Physical","Male",40,"Midwest","Separated"
41,8,"Outdoors","Solo-Play",24,52939,"Education","Student","Trade or Vocational Degree",4,"Music",70,46,45,64,"Action/Adventure,Music & Fitness,Strategy & Puzzle,Sports & Racing,Simulation","Both","Digital","Non-binary/third gender",59,"Southwest","Married"
60,6,"Outdoors","Solo-Play",10,88442,"Transportation","Retired","Associate degree",3,"Sports,Television Series,Outdoor Recreation (Hiking,etc),Music",89,50,57,71,"Roleplay","One-time payment, pre-playing","Physical","Female",43,"Southwest","In a relationship"
38,11,"Outdoors","Solo-Play",18,48141,"Publishing","Not employed, not looking","Associate degree",2,"Outdoor Recreation (Hiking,etc),Sports,Art,Television Series",77,44,24,67,"Strategy & Puzzle,Simulation,Sports & Racing,Roleplay,Music & Fitness","Both","Physical","Female",59,"Southeast","Single"
28,0,"Indoors","Multiplayer-Play",2,99871,"Arts","Employed Full Time","Trade or Vocational Degree",1,"Sports",13,13,12,31,"Strategy & Puzzle,Action/Adventure,Simulation,Roleplay,Music & Fitness,Sports & Racing","One-time payment, pre-playing","Physical","Female",34,"Southwest","Single"
33,6,"Outdoors","Multiplayer-Play",18,60811,"Education","Student","Graduate or professional degree",7,"Television Series,Outdoor Recreation (Hiking,etc),Music,Movies",71,35,14,65,"Music & Fitness,Strategy & Puzzle","In-game purchases","Digital","Female",44,"Northwest","Married"
45,3,"Outdoors","Multiplayer-Play",19,53243,"Publishing","Employed Full Time","Some College",7,"Art,Outdoor Recreation (Hiking,etc),Sports",46,42,82,43,"Strategy & Puzzle,Music & Fitness,Sports & Racing","In-game purchases","Physical","Male",41,"Southeast","Married"
53,6,"Outdoors","Solo-Play",9,89146,"Publishing","Retired","Some High School",1,"Sports,Outdoor Recreation (Hiking,etc),Movies",91,55,11,64,"Strategy & Puzzle","One-time payment, pre-playing","Digital","Male",50,"Southwest","In a relationship"
64,2,"Indoors","Solo-Play",11,99599,"Real Estate","Employed Full Time","Trade or Vocational Degree",2,"Outdoor Recreation (Hiking,etc)",90,68,26,77,"Roleplay,Music & Fitness,Action/Adventure","One-time payment, pre-playing","Digital","Male",35,"Midwest","Married"
39,8,"Outdoors","Solo-Play",28,45025,"Broadcasting","Not employed, not looking","Bachelor's degree",4,"Art,Television Series,Movies,Outdoor Recreation (Hiking,etc)",68,42,26,63,"Action/Adventure,Simulation,Music & Fitness,Roleplay,Strategy & Puzzle,Sports & Racing","In-game purchases","Digital","Female",38,"Northeast","Single"
39,0,"Outdoors","Multiplayer-Play",1,94956,"Software","Homemaker","High school graduate or equivalent",1,"Television Series,Sports,Art",9,32,18,27,"Sports & Racing","In-game purchases","Digital","Male",32,"Northeast","In a relationship"
44,9,"Outdoors","Solo-Play",24,51504,"Science","Employed Full Time","High school graduate or equivalent",0,"Movies",79,44,25,68,"Strategy & Puzzle,Simulation,Roleplay","In-game purchases","Digital","Male",28,"Northeast","Married"
37,5,"Outdoors","Solo-Play",30,45085,"Agriculture","Homemaker","Some High School",3,"Outdoor Recreation (Hiking,etc)",60,36,48,77,"Roleplay,Action/Adventure,Strategy & Puzzle","Both","Digital","Male",49,"Midwest","Single"
43,2,"Indoors","Multiplayer-Play",3,88428,"Legal Services","Not employed, not looking","High school graduate or equivalent",4,"Sports,Television Series",76,21,16,76,"Sports & Racing","In-game purchases","Physical","Female",32,"Southwest","Separated"
33,1,"Outdoors","Solo-Play",2,118719,"Information Services","Homemaker","Associate degree",1,"Outdoor Recreation (Hiking,etc),Sports,Music,Movies,Television Series,Art",77,28,16,68,"Strategy & Puzzle,Roleplay,Music & Fitness,Simulation,Sports & Racing","One-time payment, pre-playing","Digital","Male",38,"Southeast","Divorced"
60,2,"Outdoors","Solo-Play",15,81802,"Telecommunications","Employed Full Time","Some College",2,"Outdoor Recreation (Hiking,etc),Music,Television Series,Sports,Art",44,65,22,48,"Simulation,Sports & Racing,Action/Adventure,Strategy & Puzzle","In-game purchases","Digital","Male",44,"Northeast","In a relationship"
43,0,"Indoors","Multiplayer-Play",2,143683,"Military","Retired","Bachelor's degree",0,"Sports,Music,Outdoor Recreation (Hiking,etc),Television Series",69,19,18,78,"Action/Adventure,Simulation,Strategy & Puzzle,Sports & Racing,Music & Fitness","In-game purchases","Physical","Male",40,"Southeast","Single"
38,6,"Outdoors","Solo-Play",19,52881,"Real Estate","Homemaker","Associate degree",4,"Outdoor Recreation (Hiking,etc)",68,33,23,74,"Simulation,Strategy & Puzzle,Roleplay,Music & Fitness","One-time payment, pre-playing","Digital","Male",60,"Northeast","In a relationship"
56,4,"Indoors","Multiplayer-Play",11,79832,"Utilities","Employed Full Time","Some College",3,"Outdoor Recreation (Hiking,etc),Music,Art,Sports",89,57,17,72,"Sports & Racing","One-time payment, pre-playing","Physical","Female",45,"Southwest","Separated"
57,2,"Indoors","Solo-Play",6,82650,"Computer","Homemaker","Some High School",4,"Outdoor Recreation (Hiking,etc),Art,Sports,Movies,Television Series",30,59,19,64,"Simulation,Sports & Racing,Roleplay","One-time payment, pre-playing","Physical","Female",49,"Northwest","Single"
43,2,"Outdoors","Solo-Play",2,154809,"Information Services","Homemaker","Graduate or professional degree",0,"Art,Movies,Television Series",69,14,14,76,"Sports & Racing,Simulation,Music & Fitness,Strategy & Puzzle,Action/Adventure","Both","Digital","Female",33,"Northeast","In a relationship"
57,5,"Outdoors","Multiplayer-Play",28,47114,"Government","Student","High school graduate or equivalent",4,"Music,Art,Movies",66,48,31,66,"Simulation,Sports & Racing","One-time payment, pre-playing","Digital","Male",47,"Midwest","Single"
55,4,"Outdoors","Multiplayer-Play",12,97156,"Publishing","Not employed, looking","Graduate or professional degree",9,"Television Series,Outdoor Recreation (Hiking,etc)",60,48,39,75,"Roleplay,Action/Adventure,Music & Fitness","Both","Physical","Male",38,"Northwest","Married"
65,4,"Outdoors","Solo-Play",14,68530,"Education","Not employed, looking","Bachelor's degree",2,"Movies,Television Series,Outdoor Recreation (Hiking,etc),Art,Sports",28,62,32,73,"Simulation,Music & Fitness,Sports & Racing,Roleplay","Both","Physical","Male",45,"Northwest","Married"
33,2,"Indoors","Solo-Play",0,116900,"Finance","Retired","Associate degree",2,"Sports",13,27,24,36,"Action/Adventure,Roleplay,Simulation","One-time payment, pre-playing","Physical","Male",32,"Midwest","In a relationship"
37,0,"Outdoors","Multiplayer-Play",1,149903,"Homemaker","Student","Associate degree",1,"Sports,Art,Music,Movies",11,21,21,32,"Sports & Racing,Simulation,Action/Adventure,Strategy & Puzzle,Roleplay,Music & Fitness","In-game purchases","Physical","Female",33,"Southeast","In a relationship"
33,2,"Indoors","Multiplayer-Play",3,133254,"Software","Student","Associate degree",0,"Movies,Sports,Music,Art",8,23,20,32,"Roleplay,Sports & Racing","One-time payment, pre-playing","Digital","Female",33,"Midwest","Separated"
43,9,"Outdoors","Solo-Play",15,55649,"Information Services","Employed Full Time","Associate degree",3,"Sports,Music,Television Series,Movies,Outdoor Recreation (Hiking,etc)",71,37,36,59,"Action/Adventure","One-time payment, pre-playing","Physical","Female",41,"Northeast","In a relationship"
43,4,"Indoors","Multiplayer-Play",29,49739,"Education","Retired","Graduate or professional degree",5,"Art,Movies",49,47,81,58,"Simulation,Roleplay,Music & Fitness,Strategy & Puzzle,Sports & Racing,Action/Adventure","In-game purchases","Physical","Male",49,"Northeast","Single"
38,1,"Indoors","Multiplayer-Play",5,99766,"Real Estate","Not employed, not looking","Trade or Vocational Degree",2,"Movies,Television Series,Music",8,27,21,39,"Sports & Racing,Roleplay,Action/Adventure,Music & Fitness,Simulation","In-game purchases","Physical","Male",44,"Northeast","Married"
33,0,"Outdoors","Multiplayer-Play",1,71275,"Finance","Retired","Bachelor's degree",0,"Art,Sports,Music,Outdoor Recreation (Hiking,etc),Television Series",8,29,17,27,"Action/Adventure","In-game purchases","Physical","Female",36,"Midwest","Separated"
50,7,"Outdoors","Solo-Play",20,52782,"Science","Employed Full Time","Associate degree",2,"Movies,Music,Art,Television Series,Outdoor Recreation (Hiking,etc),Sports",45,40,83,49,"Simulation,Action/Adventure,Roleplay,Sports & Racing,Strategy & Puzzle,Music & Fitness","In-game purchases","Physical","Female",70,"Northeast","Married"
53,1,"Indoors","Multiplayer-Play",1,96727,"Arts","Not employed, looking","Associate degree",0,"Television Series,Outdoor Recreation (Hiking,etc)",79,14,19,72,"Strategy & Puzzle,Music & Fitness,Action/Adventure,Sports & Racing,Roleplay,Simulation","In-game purchases","Physical","Female",40,"Northeast","In a relationship"
38,7,"Outdoors","Solo-Play",21,62668,"Legal Services","Employed Full Time","Some College",4,"Television Series,Art,Outdoor Recreation (Hiking,etc),Movies",42,49,85,46,"Roleplay,Simulation,Sports & Racing,Music & Fitness,Strategy & Puzzle,Action/Adventure","In-game purchases","Physical","Male",34,"Northwest","Single"
36,2,"Outdoors","Solo-Play",1,157152,"Retail","Student","High school graduate or equivalent",2,"Music,Television Series,Art,Sports",10,25,23,34,"Sports & Racing,Action/Adventure,Strategy & Puzzle,Music & Fitness,Roleplay,Simulation","One-time payment, pre-playing","Physical","Female",33,"Northwest","In a relationship"
26,1,"Outdoors","Multiplayer-Play",2,107455,"Finance","Retired","Some College",0,"Outdoor Recreation (Hiking,etc),Sports",12,26,14,19,"Sports & Racing,Action/Adventure,Simulation","In-game purchases","Physical","Male",26,"Northeast","Married"
41,8,"Indoors","Solo-Play",34,54062,"Broadcasting","Homemaker","Trade or Vocational Degree",5,"Outdoor Recreation (Hiking,etc),Movies,Art",49,46,79,40,"Sports & Racing,Simulation,Music & Fitness","In-game purchases","Digital","Male",43,"Midwest","Divorced"
70,3,"Outdoors","Solo-Play",5,105350,"Construction","Employed Full Time","Associate degree",3,"Television Series",93,50,34,62,"Sports & Racing,Strategy & Puzzle,Action/Adventure,Simulation,Music & Fitness","One-time payment, pre-playing","Physical","Male",58,"Northeast","In a relationship"
55,2,"Indoors","Solo-Play",8,86282,"Science","Homemaker","Associate degree",1,"Movies,Sports,Outdoor Recreation (Hiking,etc),Music",89,69,30,55,"Roleplay,Action/Adventure,Strategy & Puzzle,Sports & Racing,Music & Fitness","In-game purchases","Digital","Male",54,"Northwest","In a relationship"
53,6,"Indoors","Multiplayer-Play",23,42078,"Arts","Not employed, looking","Graduate or professional degree",5,"Art,Sports,Outdoor Recreation (Hiking,etc)",44,38,80,35,"Roleplay,Sports & Racing,Simulation,Strategy & Puzzle","One-time payment, pre-playing","Physical","Female",55,"Northeast","Divorced"
40,7,"Outdoors","Solo-Play",21,44394,"Religious","Not employed, not looking","Some High School",3,"Sports,Outdoor Recreation (Hiking,etc),Art,Music,Movies,Television Series",71,37,19,69,"Simulation,Music & Fitness,Action/Adventure,Sports & Racing","In-game purchases","Physical","Male",61,"Southeast","Married"
67,3,"Indoors","Multiplayer-Play",10,90295,"Other Manufacturing","Not employed, not looking","High school graduate or equivalent",2,"Television Series,Outdoor Recreation (Hiking,etc),Music",90,56,34,73,"Music & Fitness","One-time payment, pre-playing","Physical","Male",52,"Midwest","Married"
37,2,"Indoors","Solo-Play",1,122224,"Software","Homemaker","Associate degree",1,"Sports,Art,Movies,Outdoor Recreation (Hiking,etc),Television Series",9,18,23,39,"Sports & Racing,Simulation,Roleplay","One-time payment, pre-playing","Physical","Female",37,"Southeast","Married"
49,17,"Indoors","Solo-Play",21,38372,"Retail","Retired","Graduate or professional degree",5,"Television Series,Sports,Art,Movies,Music",48,46,80,34,"Simulation,Music & Fitness,Sports & Racing","In-game purchases","Digital","Female",73,"Northeast","Single"
44,1,"Outdoors","Solo-Play",2,150387,"Telecommunications","Student","Some College",2,"Art,Sports,Movies,Outdoor Recreation (Hiking,etc),Television Series,Music",78,23,21,84,"Roleplay,Music & Fitness,Action/Adventure,Sports & Racing","Both","Digital","Male",30,"Southwest","Married"
31,1,"Outdoors","Solo-Play",2,87134,"Broadcasting","Not employed, looking","Trade or Vocational Degree",1,"Sports,Television Series,Art",14,22,20,44,"Music & Fitness,Simulation,Action/Adventure,Sports & Racing","In-game purchases","Physical","Male",35,"Southeast","Single"
47,6,"Indoors","Solo-Play",20,69523,"Computer","Homemaker","Associate degree",5,"Music,Television Series,Sports,Outdoor Recreation (Hiking,etc),Art",36,50,79,31,"Action/Adventure","Both","Physical","Male",49,"Midwest","In a relationship"
36,1,"Outdoors","Multiplayer-Play",2,95027,"Agriculture","Homemaker","Trade or Vocational Degree",1,"Movies,Outdoor Recreation (Hiking,etc)",10,20,15,37,"Simulation,Sports & Racing,Action/Adventure,Roleplay","In-game purchases","Physical","Male",40,"Northeast","Married"
34,5,"Indoors","Solo-Play",2,109086,"Information Services","Student","Trade or Vocational Degree",3,"Music,Sports",71,35,11,76,"Simulation,Sports & Racing,Strategy & Puzzle,Music & Fitness","One-time payment, pre-playing","Digital","Female",37,"Southeast","Married"
54,2,"Outdoors","Multiplayer-Play",17,43459,"Legal Services","Retired","Associate degree",5,"Music,Television Series,Outdoor Recreation (Hiking,etc),Movies,Art",40,52,84,63,"Simulation,Action/Adventure,Roleplay","In-game purchases","Digital","Male",54,"Southeast","Divorced"
42,0,"Indoors","Solo-Play",2,72673,"Information Services","Not employed, not looking","Some High School",1,"Television Series,Music",60,31,15,66,"Simulation","In-game purchases","Digital","Male",40,"Southwest","In a relationship"
37,2,"Outdoors","Solo-Play",0,108581,"Retail","Homemaker","Associate degree",1,"Television Series",76,34,11,65,"Sports & Racing,Roleplay,Music & Fitness,Simulation,Strategy & Puzzle","In-game purchases","Digital","Male",33,"Northeast","Divorced"
52,2,"Indoors","Multiplayer-Play",13,60883,"Utilities","Student","Some High School",0,"Television Series",46,56,38,74,"Simulation,Roleplay,Music & Fitness","One-time payment, pre-playing","Digital","Female",62,"Southwest","Single"
58,3,"Indoors","Multiplayer-Play",11,81092,"Legal Services","Student","Associate degree",3,"Movies,Music,Art,Television Series,Sports",91,61,29,61,"Action/Adventure,Strategy & Puzzle,Roleplay,Sports & Racing,Simulation","In-game purchases","Physical","Male",42,"Southeast","In a relationship"
27,12,"Indoors","Solo-Play",14,42531,"Other Manufacturing","Homemaker","Graduate or professional degree",3,"Art,Outdoor Recreation (Hiking,etc),Movies,Television Series",45,40,79,32,"Action/Adventure,Simulation,Music & Fitness,Roleplay,Sports & Racing,Strategy & Puzzle","In-game purchases","Physical","Male",54,"Northwest","Single"
29,1,"Outdoors","Multiplayer-Play",3,96583,"Broadcasting","Homemaker","Trade or Vocational Degree",0,"Music,Sports,Outdoor Recreation (Hiking,etc),Television Series,Movies",8,29,12,36,"Strategy & Puzzle","In-game purchases","Physical","Male",35,"Midwest","Separated"
44,7,"Outdoors","Solo-Play",15,51025,"Broadcasting","Not employed, looking","Some High School",4,"Outdoor Recreation (Hiking,etc),Movies",65,42,19,59,"Action/Adventure,Music & Fitness,Sports & Racing","In-game purchases","Physical","Female",53,"Southeast","Married"
67,6,"Outdoors","Multiplayer-Play",10,99045,"Telecommunications","Not employed, looking","Associate degree",4,"Sports,Television Series,Art",90,49,17,76,"Strategy & Puzzle,Music & Fitness,Roleplay,Action/Adventure,Simulation","One-time payment, pre-playing","Physical","Female",39,"Northeast","In a relationship"
60,0,"Outdoors","Solo-Play",4,108527,"Software","Employed Full Time","Bachelor's degree",0,"Outdoor Recreation (Hiking,etc),Sports,Music",92,48,40,73,"Roleplay,Action/Adventure,Simulation,Strategy & Puzzle,Sports & Racing","Both","Physical","Female",45,"Southeast","Married"
42,1,"Indoors","Multiplayer-Play",1,121311,"Broadcasting","Not employed, looking","Some College",1,"Sports,Music",12,19,18,33,"Roleplay","In-game purchases","Digital","Female",35,"Midwest","Divorced"
52,7,"Indoors","Multiplayer-Play",6,95278,"Legal Services","Not employed, not looking","Bachelor's degree",3,"Television Series,Sports,Outdoor Recreation (Hiking,etc),Art,Music",94,45,42,70,"Strategy & Puzzle,Music & Fitness,Roleplay,Sports & Racing","One-time payment, pre-playing","Physical","Male",52,"Southwest","Single"
39,0,"Indoors","Solo-Play",2,134757,"Broadcasting","Retired","Some High School",1,"Art",69,34,9,73,"Sports & Racing,Roleplay,Action/Adventure,Simulation,Music & Fitness","One-time payment, pre-playing","Physical","Female",28,"Northwest","Separated"
37,9,"Indoors","Solo-Play",18,55965,"Retail","Retired","Trade or Vocational Degree",1,"Music",43,45,83,66,"Sports & Racing,Action/Adventure,Roleplay,Simulation,Music & Fitness,Strategy & Puzzle","In-game purchases","Digital","Male",54,"Midwest","Single"
33,1,"Indoors","Solo-Play",3,114020,"Wholesale","Employed Full Time","Some College",0,"Movies",70,33,21,80,"Simulation,Strategy & Puzzle,Action/Adventure,Roleplay,Music & Fitness","One-time payment, pre-playing","Digital","Female",37,"Northeast","Single"
46,2,"Outdoors","Multiplayer-Play",24,65956,"Retail","Not employed, not looking","High school graduate or equivalent",3,"Art",46,40,79,46,"Sports & Racing,Music & Fitness,Strategy & Puzzle,Roleplay","In-game purchases","Digital","Male",55,"Northeast","Separated"
